tam_motor,cilindrada,consumo_combustible,emision_CO2
2,4,11.5,238
2,4,11.6,239
2.7,6,12.6,262
1.5,3,8.5,182
1.5,3,9,198
2,4,10.5,216
2.5,4,5.4,136
2.5,4,5.5,139
3.5,6,14.8,304
3.5,6,15.4,317
3.5,6,14.5,317
3.5,6,15.2,326
2.3,4,11.7,242
2.3,4,12,252
2.3,4,12.2,269
2.3,4,12.5,277
3,6,13.4,277
3.3,6,10.1,225
2.7,6,12.1,256
2.7,6,13.5,282
3.3,6,12.1,260
3.3,6,16.8,249
3.5,6,13.1,275
3.5,6,13.7,281
5,8,14.4,300
5,8,20.8,298
5,8,14.7,302
5,8,20.1,289
2.7,6,12.9,274
3.3,6,12.6,277
3.3,6,17.3,256
3.5,6,13.5,284
3.5,6,14.6,304
5,8,14.7,304
5,8,21.2,301
5,8,15.1,308
5,8,20.7,295
3.5,6,15.8,344
3.5,6,16.8,357
3.5,6,16,359
3.5,6,16.6,370
3.5,6,14.3,310
3.5,6,14.7,313
3.5,6,9.8,228
3.5,6,10.3,238
3.5,6,19.9,395
2,4,10.7,226
2.5,4,5.6,147
2.3,4,11,220
2.3,4,11.4,231
2.3,4,11.7,242
2.3,4,11.5,236
2.3,4,11.9,246
5,8,15.2,298
5,8,16.1,314
2.3,4,11.7,237
2.3,4,12,244
2.3,4,12.1,252
2.3,4,11.8,244
2.3,4,12.3,256
5,8,15.8,314
5,8,15.2,302
5,8,17.1,339
2.3,4,11.9,256
2.3,4,12.4,262
2.3,4,12.4,291
5.2,8,19.9,392
2,4,9.8,221
2,4,9.8,221
2,4,13.3,211
2.5,4,12,249
2,4,10,216
2,4,10,216
2,4,14.7,219
2.5,4,12.1,249
3.3,6,13.5,273
2.5,4,10.8,225
3.5,6,14.8,298
5,8,15,303
2.5,4,10.7,229
3.5,6,12.9,275
2.5,4,11.3,248
3.5,6,12.9,279
2,4,10.6,221
3.6,6,12.3,252
2,4,10.8,232
3.6,6,12.6,259
2.5,4,12.2,257
2.8,4,11.8,270
3.6,6,12.9,263
2.5,4,12.6,267
2.8,4,12.2,283
